เงินเดือน,40(1)
ค่าจ้าง,40(1)
เบี้ยเลี้ยง,40(1)
โบนัส,40(1)
เบี้ยหวัด,40(1)
บำเหน็จ ,40(1)
บำนาญ,40(1)
ค่าเช่าบ้านที่ได้รับจากนายจ้าง,40(1)
เงินที่คำนวณได้จากข้อมูลของการได้อยู่บ้าน ซึ่งนายจ้างให้อยู่โดยไม่เสียค่าเช่า,40(1)
เงินที่นายจ้างจ่ายชำระหนี้ใด ๆ ซึ่งลูกจ้างมีหน้าที่ต้องชำระ,40(1)
เงิน ทรัพย์สิน หรือประโยชน์ใด ๆ บรรดาที่ได้เนื่องจากการจ้างแรงงาน ,40(1)
ค่าธรรมเนียม,40(2)
ค่าส่วนลด,40(2)
เงินอุดหนุนในงาน - เบี้ยประชุม,40(2)
เงินอุดหนุนในงาน - บำเหน็จ,40(2)
เงินอุดหนุนในงาน - โบนัส,40(2)
เงินอุดหนุนในงาน - เงินค่าเช่าบ้าน,40(2)
เงินอุดหนุนในงาน - เงินที่นายจ้างจ่ายชำระหนี้ใด ๆ ซึ่งลูกจ้างมีหน้าที่ต้องชำระ,40(2)
เงินปันผล,40(4)(ข)
เงินส่วนแบ่งกำไร,40(4)(ข)
ประโยชน์อื่นใดที่ได้จากบริษัท,40(4)(ข)
ประโยชน์อื่นใดที่ได้จากห้างหุ้นส่วนนิติบุคคล,40(4)(ข)
ประโยชน์อื่นใดที่ได้จากกองทุนรวม,40(4)(ข)
ประโยชน์อื่นใดที่ได้จากสถาบันการเงินที่มีกฏหมายโดยเฉพาะของประเทศไทย,40(4)(ข)
เงินโบนัสที่จ่ายแก่ผู้ถือหุ้นในบริษัท,40(4)(ค)
เงินโบนัสที่จ่ายแก่ผู้ถือหุ้นในห้างหุ้นส่วนนิติบุคคล,40(4)(ค)
เงินโบนัสที่จ่ายแก้ผู้เป็นหุ้นส่วนในบริษัท,40(4)(ค)
เงินโบนัสที่จ่ายแก้ผู้เป็นหุ้นส่วนในห้างหุ้นส่วนนิติบุคคล,40(4)(ค)
เงินลดทุนของบริษัทเฉพาะส่วนที่จ่ายไม่เกินกว่ากำไรและเงินที่กันไว้รวมกัน,40(4)(ง)
เงินลดทุนของห้างหุ้นส่วนนิติบุคคลเฉพาะส่วนที่จ่ายไม่เกินกว่ากำไรและเงินที่กันไว้รวมกัน,40(4)(ง)
เงินเพิ่มทุนของบริษัทซึ่งตั้งจากกำไรที่ได้มาหรือเงินที่กันไว้รวมกัน,40(4)(จ)
เงินเพิ่มทุนของห้างหุ้นส่วนนิติบุคคลซึ่งตั้งจากกำไรที่ได้มาหรือเงินที่กันไว้รวมกัน,40(4)(จ)
ผลประโยชน์ที่ได้จากการที่บริษัทควบเข้ากัน ซึ่งตีราคาเป็นเงินได้เกินกว่าเงินทุน,40(4)(ฉ)
ผลประโยชน์ที่ได้จากการที่บริษัทรับช่วงกัน ซึ่งตีราคาเป็นเงินได้เกินกว่าเงินทุน,40(4)(ฉ)
ผลประโยชน์ที่ได้จากการที่บริษัทเลิกกัน ซึ่งตีราคาเป็นเงินได้เกินกว่าเงินทุน,40(4)(ฉ)
ผลประโยชน์ที่ได้จากการที่ห้างหุ้นส่วนนิติบุคคลควบเข้ากัน ซึ่งตีราคาเป็นเงินได้เกินกว่าเงินทุน,40(4)(ฉ)
ผลประโยชน์ที่ได้จากการที่ห้างหุ้นส่วนนิติบุคคลรับช่วงกัน ซึ่งตีราคาเป็นเงินได้เกินกว่าเงินทุน,40(4)(ฉ)
ผลประโยชน์ที่ได้จากการที่ห้างหุ้นส่วนนิติบุคคลเลิกกัน ซึ่งตีราคาเป็นเงินได้เกินกว่าเงินทุน,40(4)(ฉ)
ผลประโยชน์ที่ได้จากการโอนเป็นหุ้นส่วน เฉพาะซึ่งตีราคาเป็นเงินได้เกินกว่าที่ลงทุน,40(4)(ช)
ผลประโยชน์ที่ได้จากการโอนเป็นหุ้น เฉพาะซึ่งตีราคาเป็นเงินได้เกินกว่าที่ลงทุน,40(4)(ช)
ผลประโยชน์ที่ได้จากการโอนเป็นหุ้นกู้ เฉพาะซึ่งตีราคาเป็นเงินได้เกินกว่าที่ลงทุน,40(4)(ช)
ผลประโยชน์ที่ได้จากการโอนเป็นพันธบัตร เฉพาะซึ่งตีราคาเป็นเงินได้เกินกว่าที่ลงทุน,40(4)(ช)
ผลประโยชน์ที่ได้จากการโอนเป็นตั๋วเงิน เฉพาะซึ่งตีราคาเป็นเงินได้เกินกว่าที่ลงทุน,40(4)(ช)
ผลประโยชน์ที่ได้จากการโอนเป็นตราสารแสดงสิทธิในหนี้ที่บริษัทเป็นผู้ออก เฉพาะซึ่งตีราคาเป็นเงินได้เกินกว่าที่ลงทุน,40(4)(ช)
ผลประโยชน์ที่ได้จากการโอนเป็นตราสารแสดงสิทธิในหนี้ที่ห้างหุ้นส่วนนิติบุคคลเป็นผู้ออก เฉพาะซึ่งตีราคาเป็นเงินได้เกินกว่าที่ลงทุน,40(4)(ช)
ผลประโยชน์ที่ได้จากการโอนเป็นตราสารแสดงสิทธิในหนี้ที่นิติบุคคลเป็นผู้ออก เฉพาะซึ่งตีราคาเป็นเงินได้เกินกว่าที่ลงทุน,40(4)(ช)
เงินได้จากการให้เช่าทรัพย์สิน,40(5)(ก)
เงินได้จากการผิดสัญญาเช่าซื้อทรัพย์สิน,40(5)(ข)
เงินได้จากการผิดสัญญาซื้อขายเงินผ่อน ซึ่งผู้ขายได้รับคืนทรัพย์สินที่ซื้อขายนั้น โดยไม่ต้องคืนเงิน,40(5)(ค)
เงินได้จากการผิดสัญญาซื้อขายเงินผ่อน ซึ่งผู้ขายได้รับคืนทรัพย์สินที่ซื้อขายนั้น โดยไม่ต้องคืนประโยชน์ที่ได้รับไว้แล้ว,40(5)(ค)
ประโยชน์ได้จากการให้เช่าทรัพย์สิน,40(5)(ก)
ประโยชน์ได้จากการผิดสัญญาเช่าซื้อทรัพย์สิน,40(5)(ข)
ประโยชน์ได้จากการผิดสัญญาซื้อขายเงินผ่อน ซึ่งผู้ขายได้รับคืนทรัพย์สินที่ซื้อขายนั้น โดยไม่ต้องคืนเงิน,40(5)(ค)
ประโยชน์ได้จากการผิดสัญญาซื้อขายเงินผ่อน ซึ่งผู้ขายได้รับคืนทรัพย์สินที่ซื้อขายนั้น โดยไม่ต้องคืนประโยชน์ที่ได้รับไว้แล้ว,40(5)(ค)
เงินได้จากวิชาชีพอิสระ - วิชาชีพกฏหมาย,40(6)
เงินได้จากวิชาชีพอิสระ - การประกอบโรคศิลปะ,40(6)
เงินได้จากวิชาชีพอิสระ - วิศวกรรม,40(6)
เงินได้จากวิชาชีพอิสระ - สถาปัตยกรรม,40(6)
เงินได้จากวิชาชีพอิสระ - การบัญชี,40(6)
เงินได้จากวิชาชีพอิสระ - ประณิตศิลปกรรม,40(6)
เงินได้จากวิชาชีพอิสระ - วิชาชีพอิสระอื่น ซึ่งจะได้มีพระราชกฤษฎีกากำหนดชนิดไว้ ,40(6)
เงินได้จากการรับเหมาที่ผู้รับเหมาต้องลงทุนด้วยการจัดหาสัมภาระในส่วนสำคัญนอกจากเครื่องมือ,40(7)
เงินได้จากธุรกิจ นอกจากที่ระบุไว้ใน (1) ถึง (7),40(8)
เงินได้จากการพาณิชย์ นอกจากที่ระบุไว้ใน (1) ถึง (7),40(8)
เงินได้จากการเกษตร นอกจากที่ระบุไว้ใน (1) ถึง (7),40(8)
เงินได้จากการอุตสาหกรรม นอกจากที่ระบุไว้ใน (1) ถึง (7),40(8)
เงินได้จากการขนส่ง นอกจากที่ระบุไว้ใน (1) ถึง (7),40(8)
เงินได้จากการอื่น นอกจากที่ระบุไว้ใน (1) ถึง (7),40(8)
