"ID";"TypeOfIncome";"IncomeTaxAssessable"
"1";"ค่านายหน้า";"40(2)"
"5";"ค่าแห่งกู๊ดวิลล์";"40(3)"
"6";"ค่าแห่งลิขสิทธิ";"40(3)"
"7";"ดอกเบี้ยจากพันธบัตร";"40(4)(ก)"
"8";"ดอกเบี้ยจากเงินฝาก";"40(4)(ก)"
"9";"ดอกเบี้ยเงินฝากสหกรณ์";"40(4)(ก)"
"10";"ดอกเบี้ยหุ้นกู้";"40(4)(ก)"
"11";"ดอกเบี้ยตั๋วเงิน";"40(4)(ก)"
"12";"ดอกเบี้ยเงินให้กู้ยืม";"40(4)(ก)"
"13";"ผลต่างราคาไถ่ถอนกับราคาจำหน่ายตั๋วเงิน";"40(4)(ก)"
"14";"ผลต่างราคาไถ่ถอนกับตราสารสิทธิในหนี้บริษัท";"40(4)(ก)"
"15";"ผลต่างราคาไถ่ถอนกับตราสารสิทธิในนิติบุคคลอื่นเป็นผู้ออก";"40(4)(ก)"
