Keyword,Tag,Note
บริษัท ,บริษัท จำกัด,บริษัทหรือห้างหุ้นส่วนนิติบุคคลที่ประกอบกิจการในประเทศไทย
บจ.,บริษัท จำกัด,บริษัทหรือห้างหุ้นส่วนนิติบุคคลที่ประกอบกิจการในประเทศไทย
บจก.,บริษัท จำกัด,บริษัทหรือห้างหุ้นส่วนนิติบุคคลที่ประกอบกิจการในประเทศไทย
บมจ.,บริษัทมหาชน จำกัด,บริษัทหรือห้างหุ้นส่วนนิติบุคคลที่ประกอบกิจการในประเทศไทย
มหาชน,บริษัทมหาชน จำกัด,บริษัทหรือห้างหุ้นส่วนนิติบุคคลที่ประกอบกิจการในประเทศไทย
หจก.,ห้างหุ้นส่วนจำกัด,บริษัทหรือห้างหุ้นส่วนนิติบุคคลที่ประกอบกิจการในประเทศไทย
หสม.,ห้างหุ้นส่วนสามัญจดทะเบียน ,บริษัทหรือห้างหุ้นส่วนนิติบุคคลที่ประกอบกิจการในประเทศไทย
นาย,บุคคลธรรมดา,บุคคลธรรมดาที่อาศัยอยู่ในไทย
นาง,บุคคลธรรมดา,บุคคลธรรมดาที่อาศัยอยู่ในไทย
นางสาว,บุคคลธรรมดา,บุคคลธรรมดาที่อาศัยอยู่ในไทย
Mr.,บุคคลธรรมดา,บุคคลธรรมดาที่อาศัยอยู่ในไทย
Ms.,บุคคลธรรมดา,บุคคลธรรมดาที่อาศัยอยู่ในไทย
Mrs.,บุคคลธรรมดา,บุคคลธรรมดาที่อาศัยอยู่ในไทย
Miss,บุคคลธรรมดา,บุคคลธรรมดาที่อาศัยอยู่ในไทย
